id,question_id,user_id,description,created_at
339,6,134,3,"2016-08-13 02:21:33"
340,7,134,3,"2016-08-13 02:21:33"
341,12,134,"Thanks a lot for the work!","2016-08-13 02:21:33"
342,1,133,"00:30 minutes","2016-08-13 02:29:12"
343,2,133,Medium,"2016-08-13 02:29:12"
344,4,133,4,"2016-08-13 02:29:12"
345,5,133,1,"2016-08-13 02:29:12"
346,6,133,3,"2016-08-13 02:29:12"
347,7,133,5,"2016-08-13 02:29:12"
348,12,133,,"2016-08-13 02:29:12"
349,1,139,00:47,"2016-08-13 04:24:33"
350,2,139,"Very easy","2016-08-13 04:24:33"
351,4,139,5,"2016-08-13 04:24:33"
352,5,139,1,"2016-08-13 04:24:33"
353,6,139,5,"2016-08-13 04:24:33"
354,7,139,1,"2016-08-13 04:24:33"
355,8,139,1,"2016-08-13 04:24:33"
356,9,139,3,"2016-08-13 04:24:33"
357,12,139,"I don't think i had any team members. I didn't see any scenarios created by anyone else.","2016-08-13 04:24:33"
358,1,142,"15 minutes","2016-08-13 05:42:21"
359,2,142,"Very easy","2016-08-13 05:42:21"
360,4,142,5,"2016-08-13 05:42:21"
361,5,142,1,"2016-08-13 05:42:21"
362,6,142,5,"2016-08-13 05:42:21"
363,7,142,1,"2016-08-13 05:42:21"
364,12,142,,"2016-08-13 05:42:21"
365,1,145,"00:45 minutes","2016-08-13 05:46:02"
366,2,145,Medium,"2016-08-13 05:46:02"
367,4,145,5,"2016-08-13 05:46:02"
368,5,145,1,"2016-08-13 05:46:02"
369,6,145,5,"2016-08-13 05:46:02"
370,7,145,1,"2016-08-13 05:46:02"
371,12,145,"I gave lot of thought while imagining the scenario and came with best responses that came to my mind. Thank you very much. I really enjoyed the task and it was very interesting and brainstorming. ","2016-08-13 05:46:02"
372,1,102,:40,"2016-08-13 08:05:59"
373,2,102,Medium,"2016-08-13 08:05:59"
374,4,102,5,"2016-08-13 08:05:59"
375,5,102,1,"2016-08-13 08:05:59"
376,6,102,4,"2016-08-13 08:05:59"
377,7,102,3,"2016-08-13 08:05:59"
378,8,102,5,"2016-08-13 08:05:59"
379,9,102,4,"2016-08-13 08:05:59"
380,12,102,,"2016-08-13 08:05:59"
381,1,99,"35 minutes","2016-08-13 10:36:33"
382,2,99,Medium,"2016-08-13 10:36:33"
383,4,99,4,"2016-08-13 10:36:33"
384,5,99,2,"2016-08-13 10:36:33"
385,6,99,4,"2016-08-13 10:36:33"
386,7,99,1,"2016-08-13 10:36:33"
387,8,99,4,"2016-08-13 10:36:33"
388,9,99,4,"2016-08-13 10:36:33"
389,12,99,,"2016-08-13 10:36:33"
390,1,77,00:30,"2016-08-13 12:33:02"
391,2,77,Easy,"2016-08-13 12:33:02"
392,4,77,5,"2016-08-13 12:33:02"
393,5,77,2,"2016-08-13 12:33:02"
394,6,77,4,"2016-08-13 12:33:02"
395,7,77,3,"2016-08-13 12:33:02"
396,12,77,"This was actually pretty fun and creative. It got me thinking of having a smart house in the future.","2016-08-13 12:33:02"
397,1,131,01:10,"2016-08-13 13:19:28"
398,2,131,Medium,"2016-08-13 13:19:28"
399,4,131,4,"2016-08-13 13:19:28"
400,5,131,1,"2016-08-13 13:19:28"
401,6,131,3,"2016-08-13 13:19:28"
402,7,131,4,"2016-08-13 13:19:28"
403,10,131,1,"2016-08-13 13:19:28"
404,11,131,1,"2016-08-13 13:19:28"
405,12,131,"I didn't know how to comment on the other user's scenarios. They were fine, but very basic. I was unsure of how to be constuctive. Thanks! This was pretty fun.","2016-08-13 13:19:28"
406,1,121,"35 minutes","2016-08-13 13:26:46"
407,2,121,Medium,"2016-08-13 13:26:46"
408,4,121,5,"2016-08-13 13:26:46"
409,5,121,2,"2016-08-13 13:26:46"
410,6,121,4,"2016-08-13 13:26:46"
411,7,121,1,"2016-08-13 13:26:46"
